description_en	spell_ids	description_zh
Instantly Kills the target.  I hope you feel good about yourself now.....	5	
Kills all enemies in a 30 yard radius.  Cheater.	265	
Places a Blessing on the friendly target, reducing damage dealt from all sources by up to $s1 for $d.  In addition, when the target blocks a melee attack the attacker will take $s2 Holy damage.  Players may only have one Blessing on them per Paladin at any one time.	20911,20912,20913,20914	
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20963s1 Holy damage, $20963s1 if the target is stunned or incapacitated.	20915	
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20964s1 Holy damage, $20964s1 if the target is stunned or incapacitated.	20918	
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20965s1 Holy damage, $20965s1 if the target is stunned or incapacitated.	20919	
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20966s1 Holy damage, $20966s1 if the target is stunned or incapacitated.	20920	
Increases chance to block by $s1% for $d and deals $s2 Holy damage for each attack blocked while active.  Damage caused by Holy Shield causes 35% additional threat.  Each block expends a charge.  $n charges.	20925,20927,20928,27179	
Blasts the target with Holy energy, causing $25911s1 Holy damage to an enemy, or $25913s1 healing to an ally.	20929,25911,25913	
Blasts the target with Holy energy, causing $25902s1 Holy damage to an enemy, or $25903s1 healing to an ally.	20930,25902,25903	
Reduces the chance enemies have to detect you while Shadowmelded or Stealthed.	21009,86648,86649,86650,86651,86652,86653,86654	
Fills the Paladin with the spirit of a crusader for $d, granting $s1 melee attack power.  The Paladin also attacks $s2% faster, but deals less damage with each attack.  Only one Seal can be active on the Paladin at any one time.\n\nUnleashing this Seal's energy will judge an enemy for $21183d, increasing Holy damage taken by up to $21183s1.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.	21082	
Decreases threat generated by $s1%.	21156,21184	
Power infuses your raid or party members, increasing their Stamina by $s1 for $d.	21562,21564	
Gives the Gift of the Wild to all party and raid members, increasing armor by $s1, all attributes by $s2 and all resistances by $s3 for $d.	21849,21850,48470	
Permanently enchant a melee weapon to increase Frost spell power by 7.	21931	
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 50-66 damage\n   2 points: 86-102 damage\n   3 points: 122-138 damage\n   4 points: 158-174 damage\n   5 points: 194-210 damage	22568	
Finishing move that causes damage and incapacitates the target.  Any directly damaging attack will revive the target.  Causes more damage and lasts longer per combo point:\n   1 point  : ${$b1*1+$m1+$mw}-${$b1*1+$M1+$MW} damage, 2 sec\n   2 points: ${$b1*2+$m1+$mw}-${$b1*2+$M1+$MW} damage, 3 sec\n   3 points: ${$b1*3+$m1+$mw}-${$b1*3+$M1+$MW} damage, 4 sec\n   4 points: ${$b1*4+$m1+$mw}-${$b1*4+$M1+$MW} damage, 5 sec\n   5 points: ${$b1*5+$m1+$mw}-${$b1*5+$M1+$MW} damage, 6 sec	22570	
Summons and dismisses a rideable Black War Steed.   This mount increases speed depending on your Riding Skill.	22717	
Summons and dismisses a rideable Black War Kodo.   This mount increases speed depending on your Riding Skill.	22718	
Summons and dismisses a rideable Black Battlestrider.    This mount increases speed depending on your Riding Skill.	22719	
Summons and dismisses a rideable Black War Ram.   This mount increases speed depending on your Riding Skill.	22720	
Summons and dismisses a rideable Black War Raptor.   This mount increases speed depending on your Riding Skill.	22721	
Summons and dismisses a rideable Red Skeletal Warhorse.   This mount increases speed depending on your Riding Skill.	22722	
Summons and dismisses a rideable Black War Tiger.   This mount increases speed depending on your Riding Skill.	22723	
Summons and dismisses a rideable Black War Wolf.   This mount increases speed depending on your Riding Skill.	22724	
Permanently enchant a melee weapon to increase spell power by 30.	22749	
Permanently enchant a melee weapon to increase spell power by 29.	22750	
The druid's skin becomes as tough as bark.  All damage taken is reduced by $s2%.  While protected, damaging attacks will not cause spellcasting delays.  This spell is usable while stunned, frozen, incapacitated, feared or asleep.  Lasts $d.	22812	
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 79-103 damage\n   2 points: 138-162 damage\n   3 points: 197-221 damage\n   4 points: 256-280 damage\n   5 points: 315-339 damage	22827	
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 122-162 damage\n   2 points: 214-254 damage\n   3 points: 306-346 damage\n   4 points: 398-438 damage\n   5 points: 490-530 damage	22828	
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 173-223 damage\n   2 points: 301-351 damage\n   3 points: 429-479 damage\n   4 points: 557-607 damage\n   5 points: 685-735 damage	22829	
