description_en	description_zh
Instantly Kills the target.  I hope you feel good about yourself now.....	立即杀死目标。希望你现在感觉良好……
Kills all enemies in a 30 yard radius.  Cheater.	杀死30码范围内的所有敌人。作弊者。
Places a Blessing on the friendly target, reducing damage dealt from all sources by up to $s1 for $d.  In addition, when the target blocks a melee attack the attacker will take $s2 Holy damage.  Players may only have one Blessing on them per Paladin at any one time.	对友方目标施放一个祝福，使其受到的所有来源伤害最多降低$s1，持续$d。此外，当目标格挡一次近战攻击时，攻击者将受到$s2点神圣伤害。每个圣骑士同一时间只能对一名玩家施放一个祝福。
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20963s1 Holy damage, $20963s1 if the target is stunned or incapacitated.	使圣骑士有几率造成等同于普通武器伤害$20424s1%的额外神圣伤害。切换到其他圣印时保持0.5秒。持续$d。\n\n释放此圣印的能量将审判敌人，立即造成$/2;20963s1点神圣伤害，若目标被击晕或丧失行动能力则造成$20963s1点。
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20964s1 Holy damage, $20964s1 if the target is stunned or incapacitated.	使圣骑士有几率造成等同于普通武器伤害$20424s1%的额外神圣伤害。切换到其他圣印时保持0.5秒。持续$d。\n\n释放此圣印的能量将审判敌人，立即造成$/2;20964s1点神圣伤害，若目标被击晕或丧失行动能力则造成$20964s1点。
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20965s1 Holy damage, $20965s1 if the target is stunned or incapacitated.	使圣骑士有几率造成等同于普通武器伤害$20424s1%的额外神圣伤害。切换到其他圣印时保持0.5秒。持续$d。\n\n释放此圣印的能量将审判敌人，立即造成$/2;20965s1点神圣伤害，若目标被击晕或丧失行动能力则造成$20965s1点。
Gives the Paladin a chance to deal additional Holy damage equal to $20424s1% of normal weapon damage.  Persists for 0.5 seconds when swapping to any other Seal.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $/2;20966s1 Holy damage, $20966s1 if the target is stunned or incapacitated.	使圣骑士有几率造成等同于普通武器伤害$20424s1%的额外神圣伤害。切换到其他圣印时保持0.5秒。持续$d。\n\n释放此圣印的能量将审判敌人，立即造成$/2;20966s1点神圣伤害，若目标被击晕或丧失行动能力则造成$20966s1点。
Increases chance to block by $s1% for $d and deals $s2 Holy damage for each attack blocked while active.  Damage caused by Holy Shield causes 35% additional threat.  Each block expends a charge.  $n charges.	格挡几率提高$s1%，持续$d，激活期间每次格挡攻击造成$s2点神圣伤害。神圣之盾造成的伤害产生额外35%的威胁值。每次格挡消耗一次充能。$n次充能。
Blasts the target with Holy energy, causing $25911s1 Holy damage to an enemy, or $25913s1 healing to an ally.	用神圣能量冲击目标，对敌人造成$25911s1点神圣伤害，或治疗盟友$25913s1点生命值。
Blasts the target with Holy energy, causing $25902s1 Holy damage to an enemy, or $25903s1 healing to an ally.	用神圣能量冲击目标，对敌人造成$25902s1点神圣伤害，或治疗盟友$25903s1点生命值。
